field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"dl_rxpkts",35208,138,0,990,"935.6001760963418",846,35208,"22.182849466034348","[{""value"":""944"",""count"":2656},{""value"":""929"",""count"":1933},{""value"":""959"",""count"":1511},{""value"":""914"",""count"":1339},{""value"":""930"",""count"":1333},{""value"":""954"",""count"":1165},{""value"":""938"",""count"":1117},{""value"":""945"",""count"":1110},{""value"":""960"",""count"":1051},{""value"":""939"",""count"":976},{""value"":""924"",""count"":835},{""value"":""953"",""count"":787},{""value"":""923"",""count"":719},{""value"":""937"",""count"":702},{""value"":""915"",""count"":645},{""value"":""899"",""count"":627},{""value"":""974"",""count"":604},{""value"":""940"",""count"":593},{""value"":""936"",""count"":591},{""value"":""952"",""count"":585},{""value"":""955"",""count"":514},{""value"":""922"",""count"":512},{""value"":""908"",""count"":500},{""value"":""969"",""count"":472},{""value"":""943"",""count"":469},{""value"":""928"",""count"":465},{""value"":""909"",""count"":428},{""value"":""951"",""count"":417},{""value"":""968"",""count"":410},{""value"":""900"",""count"":395},{""value"":""950"",""count"":388},{""value"":""925"",""count"":383},{""value"":""935"",""count"":372},{""value"":""958"",""count"":370},{""value"":""921"",""count"":362},{""value"":""907"",""count"":319},{""value"":""970"",""count"":278},{""value"":""913"",""count"":261},{""value"":""920"",""count"":257},{""value"":""906"",""count"":255},{""value"":""942"",""count"":254},{""value"":""966"",""count"":251},{""value"":""884"",""count"":232},{""value"":""967"",""count"":232},{""value"":""910"",""count"":224},{""value"":""893"",""count"":220},{""value"":""956"",""count"":219},{""value"":""927"",""count"":203},{""value"":""934"",""count"":200},{""value"":""892"",""count"":197},{""value"":""975"",""count"":191},{""value"":""926"",""count"":181},{""value"":""894"",""count"":178},{""value"":""941"",""count"":178},{""value"":""957"",""count"":175},{""value"":""949"",""count"":172},{""value"":""965"",""count"":159},{""value"":""905"",""count"":147},{""value"":""898"",""count"":142},{""value"":""912"",""count"":139},{""value"":""885"",""count"":136},{""value"":""919"",""count"":135},{""value"":""948"",""count"":116},{""value"":""891"",""count"":103},{""value"":""973"",""count"":99},{""value"":""964"",""count"":95},{""value"":""911"",""count"":90},{""value"":""933"",""count"":85},{""value"":""895"",""count"":81},{""value"":""972"",""count"":66},{""value"":""897"",""count"":65},{""value"":""890"",""count"":61},{""value"":""904"",""count"":61},{""value"":""984"",""count"":61},{""value"":""932"",""count"":60},{""value"":""878"",""count"":57},{""value"":""896"",""count"":57},{""value"":""918"",""count"":55},{""value"":""879"",""count"":54},{""value"":""869"",""count"":53},{""value"":""947"",""count"":53},{""value"":""877"",""count"":49},{""value"":""982"",""count"":48},{""value"":""883"",""count"":47},{""value"":""971"",""count"":46},{""value"":""946"",""count"":45},{""value"":""963"",""count"":43},{""value"":""876"",""count"":37},{""value"":""931"",""count"":37},{""value"":""983"",""count"":34},{""value"":""985"",""count"":33},{""value"":""961"",""count"":31},{""value"":""917"",""count"":30},{""value"":""962"",""count"":28},{""value"":""916"",""count"":26},{""value"":""980"",""count"":26},{""value"":""903"",""count"":24},{""value"":""981"",""count"":23},{""value"":""870"",""count"":21},{""value"":""880"",""count"":21}]"
"dl_statStatus",35208,1,1,1792,1792,1792,35208,0,"[{""value"":""1792"",""count"":35208}]"
"dl_toolatepkts",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_tosmax",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_tosmin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_ttlmax",35208,1,1,250,250,250,35208,0,"[{""value"":""250"",""count"":35208}]"
"dl_ttlmin",35208,1,1,250,250,250,35208,0,"[{""value"":""250"",""count"":35208}]"
"dl_vpriomax",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_vpriomin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
eventtype,0,0,1,,,,0,,"[]"
host,35208,1,1,,,,0,,"[{""value"":""pca"",""count"":35208}]"
index,35208,1,1,,,,0,,"[{""value"":""pca"",""count"":35208}]"
intervalms,35208,177,0,10100,"9999.902976596228",9900,35208,"36.22132356273331","[{""value"":""10000"",""count"":1816},{""value"":""10004"",""count"":1712},{""value"":""9996"",""count"":1678},{""value"":""9992"",""count"":1554},{""value"":""10008"",""count"":1492},{""value"":""9988"",""count"":1462},{""value"":""10012"",""count"":1352},{""value"":""9984"",""count"":1302},{""value"":""10016"",""count"":1227},{""value"":""9980"",""count"":1213},{""value"":""10020"",""count"":1176},{""value"":""10024"",""count"":1147},{""value"":""9976"",""count"":1142},{""value"":""10028"",""count"":1047},{""value"":""9972"",""count"":1026},{""value"":""10032"",""count"":957},{""value"":""9968"",""count"":912},{""value"":""10036"",""count"":864},{""value"":""9960"",""count"":796},{""value"":""10040"",""count"":793},{""value"":""9964"",""count"":793},{""value"":""10044"",""count"":724},{""value"":""9956"",""count"":687},{""value"":""10048"",""count"":665},{""value"":""9952"",""count"":596},{""value"":""9948"",""count"":582},{""value"":""10052"",""count"":535},{""value"":""10056"",""count"":500},{""value"":""9944"",""count"":484},{""value"":""10060"",""count"":442},{""value"":""9940"",""count"":434},{""value"":""10064"",""count"":398},{""value"":""9936"",""count"":359},{""value"":""9932"",""count"":327},{""value"":""10068"",""count"":323},{""value"":""9928"",""count"":283},{""value"":""10072"",""count"":257},{""value"":""9924"",""count"":245},{""value"":""10076"",""count"":204},{""value"":""10080"",""count"":181},{""value"":""9920"",""count"":164},{""value"":""9916"",""count"":142},{""value"":""10084"",""count"":113},{""value"":""9912"",""count"":102},{""value"":""10088"",""count"":73},{""value"":""9908"",""count"":73},{""value"":""10092"",""count"":49},{""value"":""9904"",""count"":38},{""value"":""10096"",""count"":27},{""value"":""9999"",""count"":19},{""value"":""10006"",""count"":18},{""value"":""10005"",""count"":16},{""value"":""9986"",""count"":15},{""value"":""9997"",""count"":15},{""value"":""10017"",""count"":14},{""value"":""9995"",""count"":14},{""value"":""10023"",""count"":13},{""value"":""10031"",""count"":13},{""value"":""9991"",""count"":13},{""value"":""10001"",""count"":12},{""value"":""10003"",""count"":12},{""value"":""10013"",""count"":12},{""value"":""10022"",""count"":12},{""value"":""9977"",""count"":12},{""value"":""9989"",""count"":12},{""value"":""9998"",""count"":12},{""value"":""10002"",""count"":11},{""value"":""10007"",""count"":11},{""value"":""10010"",""count"":11},{""value"":""10015"",""count"":11},{""value"":""10025"",""count"":11},{""value"":""9993"",""count"":11},{""value"":""10014"",""count"":10},{""value"":""10029"",""count"":10},{""value"":""10039"",""count"":10},{""value"":""9975"",""count"":10},{""value"":""9978"",""count"":10},{""value"":""9983"",""count"":10},{""value"":""9990"",""count"":10},{""value"":""9994"",""count"":10},{""value"":""10026"",""count"":9},{""value"":""10046"",""count"":9},{""value"":""9961"",""count"":9},{""value"":""10021"",""count"":8},{""value"":""9900"",""count"":8},{""value"":""9982"",""count"":8},{""value"":""10011"",""count"":7},{""value"":""10027"",""count"":7},{""value"":""10045"",""count"":7},{""value"":""10047"",""count"":7},{""value"":""9962"",""count"":7},{""value"":""9966"",""count"":7},{""value"":""9971"",""count"":7},{""value"":""9979"",""count"":7},{""value"":""10009"",""count"":6},{""value"":""10034"",""count"":6},{""value"":""10037"",""count"":6},{""value"":""10038"",""count"":6},{""value"":""10041"",""count"":6},{""value"":""9957"",""count"":6}]"
linecount,35208,1,1,1,1,1,35208,0,"[{""value"":""1"",""count"":35208}]"
punct,35208,1,1,,,,0,,"[{""value"":"".,,-,,---,-,,----,--,...,,...,,,,,,,,,,,,,,,,,,,,,"",""count"":35208}]"
"rt_dStdDev",35208,2,1,3,"2.310384003635537",2,35208,"0.46265738247600025","[{""value"":""2"",""count"":24280},{""value"":""3"",""count"":10928}]"
"rt_dmax",35208,9,1,66,"61.71407066575778",58,35208,"1.1629835465141833","[{""value"":""62"",""count"":11145},{""value"":""61"",""count"":9691},{""value"":""63"",""count"":7053},{""value"":""60"",""count"":4680},{""value"":""64"",""count"":1759},{""value"":""59"",""count"":701},{""value"":""65"",""count"":168},{""value"":""66"",""count"":7},{""value"":""58"",""count"":4}]"
"rt_dmean",35208,3,1,52,"51.2367643717337",50,35208,"0.43442134788268855","[{""value"":""51"",""count"":26590},{""value"":""52"",""count"":8477},{""value"":""50"",""count"":141}]"
"rt_dmin",35208,3,1,47,"45.59651215632811",45,35208,"0.5251655880782233","[{""value"":""46"",""count"":19766},{""value"":""45"",""count"":14824},{""value"":""47"",""count"":618}]"
"rt_dp25",35208,3,1,51,"49.4235401045217",49,35208,"0.497106404318163","[{""value"":""49"",""count"":20348},{""value"":""50"",""count"":14808},{""value"":""51"",""count"":52}]"
"rt_dp50",35208,3,1,52,"51.04001931379232",50,35208,"0.6716553275284414","[{""value"":""51"",""count"":19269},{""value"":""52"",""count"":8674},{""value"":""50"",""count"":7265}]"
"rt_dp75",35208,3,1,54,"52.72324471710975",52,35208,"0.7881031019958292","[{""value"":""52"",""count"":17154},{""value"":""53"",""count"":10644},{""value"":""54"",""count"":7410}]"
"rt_dp95",35208,4,1,58,"56.73880936150875",55,35208,"0.4989861305436227","[{""value"":""57"",""count"":24340},{""value"":""56"",""count"":9882},{""value"":""58"",""count"":886},{""value"":""55"",""count"":100}]"
"rt_dpHi",35208,5,1,61,"58.7743126562145",57,35208,"0.5725340849155311","[{""value"":""59"",""count"":22501},{""value"":""58"",""count"":10041},{""value"":""60"",""count"":2457},{""value"":""57"",""count"":195},{""value"":""61"",""count"":14}]"
"rt_dpLo",35208,5,1,59,"57.039451261077026",55,35208,"0.6539045545667368","[{""value"":""57"",""count"":20105},{""value"":""58"",""count"":8245},{""value"":""56"",""count"":6856},{""value"":""55"",""count"":1},{""value"":""59"",""count"":1}]"
"rt_dpMi",35208,5,1,60,"58.024909111565556",56,35208,"0.6201736927081931","[{""value"":""58"",""count"":21693},{""value"":""59"",""count"":7190},{""value"":""57"",""count"":6309},{""value"":""56"",""count"":9},{""value"":""60"",""count"":7}]"
"rt_dvmax",35208,10,1,21,"16.117558509429674",12,35208,"1.1553861135161783","[{""value"":""16"",""count"":11487},{""value"":""17"",""count"":8847},{""value"":""15"",""count"":8355},{""value"":""18"",""count"":3381},{""value"":""14"",""count"":2367},{""value"":""19"",""count"":602},{""value"":""13"",""count"":120},{""value"":""20"",""count"":45},{""value"":""12"",""count"":3},{""value"":""21"",""count"":1}]"
"rt_dvmean",35208,3,1,6,"5.64025221540559",4,35208,"0.4837647214751667","[{""value"":""6"",""count"":22607},{""value"":""5"",""count"":12536},{""value"":""4"",""count"":65}]"
"rt_dvp25",35208,3,1,5,"3.8270279481935923",3,35208,"0.5140290555826711","[{""value"":""4"",""count"":24852},{""value"":""3"",""count"":8223},{""value"":""5"",""count"":2133}]"
"rt_dvp50",35208,3,1,6,"5.443507157464213",4,35208,"0.7083937292883592","[{""value"":""6"",""count"":20104},{""value"":""5"",""count"":10615},{""value"":""4"",""count"":4489}]"
"rt_dvp75",35208,3,1,8,"7.12673256078164",6,35208,"0.8592965969078725","[{""value"":""8"",""count"":15512},{""value"":""6"",""count"":11050},{""value"":""7"",""count"":8646}]"
"rt_dvp95",35208,5,1,13,"11.142297205180641",9,35208,"0.49912841926155804","[{""value"":""11"",""count"":26690},{""value"":""12"",""count"":6309},{""value"":""10"",""count"":1887},{""value"":""13"",""count"":308},{""value"":""9"",""count"":14}]"
"rt_dvpHi",35208,6,1,16,"13.17780049988639",11,35208,"0.6184725345003202","[{""value"":""13"",""count"":23336},{""value"":""14"",""count"":7966},{""value"":""12"",""count"":3015},{""value"":""15"",""count"":764},{""value"":""11"",""count"":120},{""value"":""16"",""count"":7}]"
"rt_dvpLo",35208,4,1,13,"11.442939104748922",10,35208,"0.673866598699977","[{""value"":""11"",""count"":20728},{""value"":""12"",""count"":10830},{""value"":""13"",""count"":2805},{""value"":""10"",""count"":845}]"
"rt_dvpMi",35208,6,1,15,"12.428396955237446",10,35208,"0.6636761742393248","[{""value"":""12"",""count"":20617},{""value"":""13"",""count"":11168},{""value"":""14"",""count"":2441},{""value"":""11"",""count"":972},{""value"":""10"",""count"":5},{""value"":""15"",""count"":5}]"
"rt_firstpktSeq",35208,500,0,656450224,"652334163.2736878",648216014,35208,"2377643.8178655584","[{""value"":""649114048"",""count"":3},{""value"":""650770743"",""count"":3},{""value"":""650782097"",""count"":3},{""value"":""653555423"",""count"":3},{""value"":""653996846"",""count"":3},{""value"":""654170394"",""count"":3},{""value"":""654614779"",""count"":3},{""value"":""648216022"",""count"":2},{""value"":""648237350"",""count"":2},{""value"":""648243928"",""count"":2},{""value"":""648245778"",""count"":2},{""value"":""648253306"",""count"":2},{""value"":""648253314"",""count"":2},{""value"":""648254250"",""count"":2},{""value"":""648254258"",""count"":2},{""value"":""648256147"",""count"":2},{""value"":""648258027"",""count"":2},{""value"":""648274832"",""count"":2},{""value"":""648274840"",""count"":2},{""value"":""648275739"",""count"":2},{""value"":""648276614"",""count"":2},{""value"":""648283924"",""count"":2},{""value"":""648287560"",""count"":2},{""value"":""648313573"",""count"":2},{""value"":""648320822"",""count"":2},{""value"":""648321729"",""count"":2},{""value"":""648323562"",""count"":2},{""value"":""648328075"",""count"":2},{""value"":""648334356"",""count"":2},{""value"":""648335262"",""count"":2},{""value"":""648335270"",""count"":2},{""value"":""648336160"",""count"":2},{""value"":""648339812"",""count"":2},{""value"":""648341611"",""count"":2},{""value"":""648348971"",""count"":2},{""value"":""648354395"",""count"":2},{""value"":""648358068"",""count"":2},{""value"":""648362746"",""count"":2},{""value"":""648367500"",""count"":2},{""value"":""648376033"",""count"":2},{""value"":""648378801"",""count"":2},{""value"":""648381543"",""count"":2},{""value"":""648384321"",""count"":2},{""value"":""648385230"",""count"":2},{""value"":""648387991"",""count"":2},{""value"":""648390749"",""count"":2},{""value"":""648391663"",""count"":2},{""value"":""648391671"",""count"":2},{""value"":""648397152"",""count"":2},{""value"":""648400870"",""count"":2},{""value"":""648404647"",""count"":2},{""value"":""648406467"",""count"":2},{""value"":""648412969"",""count"":2},{""value"":""648418452"",""count"":2},{""value"":""648419434"",""count"":2},{""value"":""648433640"",""count"":2},{""value"":""648445645"",""count"":2},{""value"":""648451341"",""count"":2},{""value"":""648455032"",""count"":2},{""value"":""648455998"",""count"":2},{""value"":""648477476"",""count"":2},{""value"":""648479290"",""count"":2},{""value"":""648480256"",""count"":2},{""value"":""648483959"",""count"":2},{""value"":""648486764"",""count"":2},{""value"":""648491424"",""count"":2},{""value"":""648497070"",""count"":2},{""value"":""648498959"",""count"":2},{""value"":""648503635"",""count"":2},{""value"":""648511256"",""count"":2},{""value"":""648516933"",""count"":2},{""value"":""648518800"",""count"":2},{""value"":""648521535"",""count"":2},{""value"":""648522457"",""count"":2},{""value"":""648525201"",""count"":2},{""value"":""648540130"",""count"":2},{""value"":""648553410"",""count"":2},{""value"":""648554340"",""count"":2},{""value"":""648562936"",""count"":2},{""value"":""648569632"",""count"":2},{""value"":""648576116"",""count"":2},{""value"":""648584639"",""count"":2},{""value"":""648588431"",""count"":2},{""value"":""648590328"",""count"":2},{""value"":""648591264"",""count"":2},{""value"":""648593123"",""count"":2},{""value"":""648595020"",""count"":2},{""value"":""648595971"",""count"":2},{""value"":""648600596"",""count"":2},{""value"":""648610894"",""count"":2},{""value"":""648618141"",""count"":2},{""value"":""648629334"",""count"":2},{""value"":""648634886"",""count"":2},{""value"":""648639556"",""count"":2},{""value"":""648647986"",""count"":2},{""value"":""648654478"",""count"":2},{""value"":""648657288"",""count"":2},{""value"":""648657296"",""count"":2},{""value"":""648663705"",""count"":2},{""value"":""648665482"",""count"":2}]"
"rt_jStdDev",35208,2,1,3,"2.2409111565553284",2,35208,"0.427642567367216","[{""value"":""2"",""count"":26726},{""value"":""3"",""count"":8482}]"
"rt_jmax",35208,11,1,19,"12.770648716200864",9,35208,"1.3619421729016263","[{""value"":""13"",""count"":9602},{""value"":""12"",""count"":9134},{""value"":""14"",""count"":6533},{""value"":""11"",""count"":5199},{""value"":""15"",""count"":2679},{""value"":""10"",""count"":1117},{""value"":""16"",""count"":769},{""value"":""17"",""count"":142},{""value"":""18"",""count"":16},{""value"":""9"",""count"":14},{""value"":""19"",""count"":3}]"
"rt_jmean",35208,2,1,3,"2.5830493069756875",2,35208,"0.4930615758377619","[{""value"":""3"",""count"":20528},{""value"":""2"",""count"":14680}]"
"rt_jmin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"rt_jp25",35208,2,1,2,"1.0000284026357646",1,35208,"0.005329412328249985","[{""value"":""1"",""count"":35207},{""value"":""2"",""count"":1}]"
"rt_jp50",35208,2,1,3,"2.3882072256305387",2,35208,"0.48734907559555934","[{""value"":""2"",""count"":21540},{""value"":""3"",""count"":13668}]"
"rt_jp75",35208,4,1,6,"4.491592819813679",3,35208,"0.5007311799401802","[{""value"":""4"",""count"":17908},{""value"":""5"",""count"":17286},{""value"":""6"",""count"":12},{""value"":""3"",""count"":2}]"
"rt_jp95",35208,5,1,10,"7.853840036355374",6,35208,"0.8137180706519564","[{""value"":""7"",""count"":14502},{""value"":""8"",""count"":11273},{""value"":""9"",""count"":9390},{""value"":""6"",""count"":30},{""value"":""10"",""count"":13}]"
"rt_jpHi",35208,6,1,13,"9.89729606907521",8,35208,"0.8172144293722241","[{""value"":""10"",""count"":14497},{""value"":""9"",""count"":11802},{""value"":""11"",""count"":7893},{""value"":""12"",""count"":550},{""value"":""8"",""count"":441},{""value"":""13"",""count"":25}]"
"rt_jpLo",35208,4,1,10,"8.250511247443763",7,35208,"0.770852746886166","[{""value"":""9"",""count"":14877},{""value"":""8"",""count"":13176},{""value"":""7"",""count"":6789},{""value"":""10"",""count"":366}]"
"rt_jpMi",35208,5,1,11,"9.13531015678255",7,35208,"0.7899765167109758","[{""value"":""9"",""count"":13906},{""value"":""10"",""count"":12414},{""value"":""8"",""count"":8450},{""value"":""11"",""count"":419},{""value"":""7"",""count"":19}]"
"rt_lastpktSeq",35208,500,0,656451177,"652335097.8738639",648216913,35208,"2377643.4104213547","[{""value"":""649114047"",""count"":3},{""value"":""650770742"",""count"":3},{""value"":""650782096"",""count"":3},{""value"":""653555422"",""count"":3},{""value"":""653996845"",""count"":3},{""value"":""654170393"",""count"":3},{""value"":""654614778"",""count"":3},{""value"":""648237349"",""count"":2},{""value"":""648243927"",""count"":2},{""value"":""648245777"",""count"":2},{""value"":""648253305"",""count"":2},{""value"":""648253313"",""count"":2},{""value"":""648254249"",""count"":2},{""value"":""648254257"",""count"":2},{""value"":""648256146"",""count"":2},{""value"":""648258026"",""count"":2},{""value"":""648274831"",""count"":2},{""value"":""648274839"",""count"":2},{""value"":""648275738"",""count"":2},{""value"":""648276613"",""count"":2},{""value"":""648283923"",""count"":2},{""value"":""648287559"",""count"":2},{""value"":""648313572"",""count"":2},{""value"":""648320821"",""count"":2},{""value"":""648321728"",""count"":2},{""value"":""648323561"",""count"":2},{""value"":""648328074"",""count"":2},{""value"":""648334355"",""count"":2},{""value"":""648335261"",""count"":2},{""value"":""648335269"",""count"":2},{""value"":""648336159"",""count"":2},{""value"":""648339811"",""count"":2},{""value"":""648341610"",""count"":2},{""value"":""648348970"",""count"":2},{""value"":""648354394"",""count"":2},{""value"":""648358067"",""count"":2},{""value"":""648362745"",""count"":2},{""value"":""648367499"",""count"":2},{""value"":""648376032"",""count"":2},{""value"":""648378800"",""count"":2},{""value"":""648381542"",""count"":2},{""value"":""648384320"",""count"":2},{""value"":""648385229"",""count"":2},{""value"":""648387990"",""count"":2},{""value"":""648390748"",""count"":2},{""value"":""648391662"",""count"":2},{""value"":""648391670"",""count"":2},{""value"":""648397151"",""count"":2},{""value"":""648400869"",""count"":2},{""value"":""648404646"",""count"":2},{""value"":""648406466"",""count"":2},{""value"":""648412968"",""count"":2},{""value"":""648418451"",""count"":2},{""value"":""648419433"",""count"":2},{""value"":""648433639"",""count"":2},{""value"":""648445644"",""count"":2},{""value"":""648451340"",""count"":2},{""value"":""648455031"",""count"":2},{""value"":""648455997"",""count"":2},{""value"":""648477475"",""count"":2},{""value"":""648479289"",""count"":2},{""value"":""648480255"",""count"":2},{""value"":""648483958"",""count"":2},{""value"":""648486763"",""count"":2},{""value"":""648491423"",""count"":2},{""value"":""648497069"",""count"":2},{""value"":""648498958"",""count"":2},{""value"":""648503634"",""count"":2},{""value"":""648511255"",""count"":2},{""value"":""648516932"",""count"":2},{""value"":""648518799"",""count"":2},{""value"":""648521534"",""count"":2},{""value"":""648522456"",""count"":2},{""value"":""648525200"",""count"":2},{""value"":""648540129"",""count"":2},{""value"":""648553409"",""count"":2},{""value"":""648554339"",""count"":2},{""value"":""648562935"",""count"":2},{""value"":""648569631"",""count"":2},{""value"":""648576115"",""count"":2},{""value"":""648584638"",""count"":2},{""value"":""648588430"",""count"":2},{""value"":""648590327"",""count"":2},{""value"":""648591263"",""count"":2},{""value"":""648593122"",""count"":2},{""value"":""648595019"",""count"":2},{""value"":""648595970"",""count"":2},{""value"":""648600595"",""count"":2},{""value"":""648610893"",""count"":2},{""value"":""648618140"",""count"":2},{""value"":""648629333"",""count"":2},{""value"":""648634885"",""count"":2},{""value"":""648639555"",""count"":2},{""value"":""648647985"",""count"":2},{""value"":""648654477"",""count"":2},{""value"":""648657287"",""count"":2},{""value"":""648657295"",""count"":2},{""value"":""648663704"",""count"":2},{""value"":""648665481"",""count"":2},{""value"":""648669178"",""count"":2}]"
